uid,locno,DAYNO,stime,etime,X_PUBLIC,Y_PUBLIC
231,4000301_3,10003098,1,1170371100,1170371280,-87.82,42.45
232,4000301_3,94000301,1,1170372000,1170298740,-87.9,42.45
233,4000301_4,94000301,1,1170298800,1170326400,-87.9,42.45
234,4000301_4,10003183,1,1170326640,1170326820,-87.96,42.45
235,4000301_4,10003136,1,1170328500,1170329100,-87.97,42.39
236,4000301_4,10003249,1,1170329400,1170333000,-87.94,42.35
237,4000301_4,94000301,1,1170334200,1170336000,-87.9,42.45
238,4000301_4,10003252,1,1170336600,1170337800,-87.83,42.44
239,4000301_4,10003225,1,1170338280,1170338580,-87.83,42.45
240,4000301_4,94000301,1,1170339300,1170298740,-87.9,42.45
241,4000301_5,94000301,1,1170298800,1170298740,-87.9,42.45
242,4000306_1,94000306,1,1170298800,1170333000,-88.21,41.57
243,4000306_1,10003198,1,1170334800,1170336600,-88.08,41.52
244,4000306_1,10003250,1,1170337500,1170338400,-88.08,41.52
245,4000306_1,10003141,1,1170340200,1170341400,-88.16,41.57
246,4000306_1,94000306,1,1170342000,1170349200,-88.21,41.57
247,4000306_1,10003189,1,1170349800,1170356400,-88.16,41.57
248,4000306_1,94000306,1,1170357000,1170298740,-88.21,41.57
249,4000306_2,94000306,1,1170298800,1170333000,-88.21,41.57
250,4000306_2,10003198,1,1170334800,1170336600,-88.08,41.52
251,4000306_2,10003250,1,1170337500,1170338400,-88.08,41.52
252,4000306_2,10003141,1,1170340200,1170341400,-88.16,41.57
253,4000306_2,10003129,1,1170342900,1170346500,-88.11,41.68
254,4000306_2,10003189,1,1170347400,1170354600,-88.16,41.57
255,4000306_2,10003124,1,1170355200,1170358200,-88.16,41.57
256,4000306_2,94000306,1,1170358800,1170298740,-88.21,41.57
257,4000306_3,94000306,1,1170298800,1170321300,-88.21,41.57
258,4000306_3,10008516,1,1170323100,1170327600,-88.16,41.5
259,4000306_3,10003144,1,1170329400,1170331200,-88.16,41.57
260,4000306_3,10009117,1,1170347400,1170372600,-88.07,41.79
261,4000306_3,94000306,1,NA,1170298740,-88.21,41.57
262,4000338_1,94000338,1,1170298800,1170315000,-87.86,42.03
263,4000338_1,10009222,1,1170316500,1170331500,-87.83,42.16
264,4000338_1,10001355,1,1170331800,1170332700,-87.81,42.13
265,4000338_1,10009222,1,1170333000,1170346500,-87.83,42.16
266,4000338_1,94000338,1,1170348600,1170298740,-87.86,42.03
267,4000338_2,94000338,1,1170298800,1170313500,-87.86,42.03
268,4000338_2,10008805,1,1170315600,1170347400,-87.84,42.1
269,4000338_2,94000338,1,1170349200,1170298740,-87.86,42.03
270,4000414_1,94000414,1,1170298800,1170311400,-87.66,42
271,4000414_1,10009269,1,1170314100,1170340200,-87.64,41.87
272,4000414_1,10006595,1,1170358200,1170298740,NA,NA
273,4000414_2,94000414,1,1170298800,1170326700,-87.66,42
274,4000414_2,10006590,1,1170331920,1170336600,-87.63,41.87
275,4000414_2,10006594,1,1170338280,1170345480,-87.61,41.89
276,4000414_2,94000414,1,1170350160,1170298740,-87.66,42
277,4000424_1,94000424,1,1170298800,1170347400,-88.32,42.22
278,4000424_1,10001552,1,1170347700,1170348720,-88.34,42.22
279,4000424_1,10001592,1,1170349380,1170353880,-88.33,42.19
280,4000424_1,94000424,1,1170354180,1170298740,-88.32,42.22
281,4000424_2,94000424,1,1170298800,1170307020,-88.32,42.22
282,4000424_2,10008839,1,1170307740,1170310800,-88.29,42.18
283,4000424_2,10001356,1,1170311460,1170315780,-88.26,42.22
284,4000424_2,10008839,1,1170316800,1170343500,-88.29,42.18
285,4000424_2,94000424,1,1170344280,1170347100,-88.32,42.22
286,4000424_2,10001552,1,1170347700,1170348720,-88.34,42.22
287,4000424_2,10001592,1,1170349380,1170353880,-88.33,42.19
288,4000424_2,94000424,1,1170354180,1170298740,-88.32,42.22
289,4000424_3,94000424,1,1170298800,1170313920,-88.32,42.22
290,4000424_3,10008517,1,1170314160,1170341700,-88.33,42.19
291,4000424_3,94000424,1,1170342000,1170344700,-88.32,42.22
292,4000424_3,10001136,1,1170344880,1170354300,-88.32,42.22
293,4000424_3,94000424,1,1170354480,1170298740,-88.32,42.22
294,4000431_1,94000431,1,1170298800,1170311400,-88.05,42.4
295,4000431_1,20010739,1,1170319200,1170351000,-87.62,41.88
296,4000431_1,94000431,1,1170358500,1170298740,-88.05,42.4
297,4000431_1,94000431,2,1170385200,1170397800,-88.05,42.4
298,4000431_1,20010739,2,1170405600,1170437400,-87.62,41.88
299,4000431_1,94000431,2,1170444900,1170385140,-88.05,42.4
300,4000436_1,94000436,1,1170298800,1170315900,-87.63,41.93
301,4000436_1,20001307,1,1170316200,1170317400,-87.63,41.94
302,4000436_1,20001401,1,1170318600,1170318900,-87.69,42.01
303,4000436_1,20001490,1,1170319500,1170322800,-87.71,42
304,4000436_1,20001490,1,1170323400,1170323700,-87.71,42
305,4000436_1,94000436,1,1170326400,1170330900,-87.63,41.93
306,4000436_1,20001709,1,1170332100,1170344700,-87.65,41.95
307,4000436_1,94000436,1,1170345300,1170298740,-87.63,41.93
308,4000436_1,94000436,2,1170385200,1170398100,-87.63,41.93
309,4000436_1,20002015,2,1170398880,1170401400,-87.63,41.94
310,4000436_1,20002049,2,1170402000,1170403200,-87.63,41.93
311,4000436_1,94000436,2,1170403260,1170412200,-87.63,41.93
312,4000436_1,20002102,2,1170413100,1170418500,-87.65,41.95
